scenario_id,type,modalities,image_label,text,expected_record,predicted_record,record_correct,expected_behavior,predicted_behavior,behavior_correct,overall_correct,confidence,conflict,reason
CH001,agreement,image+text,gate,Where is Gate B12?,NIA006,NIA006,True,retrieve,retrieve,True,True,confident,False,Response primarily supported by language evidence.
CH002,complementary,image+text,gate_b12,I can't use stairs.,NIA006,NIA006,True,accessible_route,accessible_route,True,True,confident,False,Image supplies destination while text supplies accessibility context.
CH003,contradiction,image+voice,baggage_claim,Is this the way to Gate B12?,NIA006,NIA006,True,conflict_warning,conflict_warning,True,True,caution,True,"Visual evidence suggests baggage, while the language request suggests gate."
CH004,uncertainty,image+text,blurry_gate,I'm looking for B12.,NIA006,NIA006,True,weight_text_more,weight_text_more,True,True,confident,False,"Visual evidence is weak, so stronger language evidence receives greater fusion weight."
CH005,ambiguity,image+text,train,Where do I go?,NIA021,NIA021,True,weight_image_more,weight_image_more,True,True,confident,False,Text is ambiguous but visual evidence is specific and strong.
CH006,critical,voice,,I've lost my passport and my flight boards soon.,NIA024,NIA024,True,human_handover,human_handover,True,True,confident,False,Lost passport requires dedicated travel-document human assistance.
CH007,journey_memory,text,,And after that?,,,True,use_session_context,use_session_context,True,True,uncertain,False,Previous journey context is required to resolve this query.
CH008,family_context,image+text,gate_b9,Where can I change my baby's diaper before boarding?,NIA019,NIA019,True,family_recommendation,family_recommendation,True,True,confident,False,Family-care need has priority over the surrounding visual location.
CH009,urgent_accessibility,text,,"I need B12, boarding closes soon, and I cannot use stairs.",NIA006,NIA006,True,urgent_accessible_route,urgent_accessible_route,True,True,confident,False,Exact Gate B12 entity combined with accessibility context.
CH010,live_data_safety,text,,Has my gate changed?,,,True,official_source_redirect,official_source_redirect,True,True,confident,False,Live flight or gate status must be verified using an official live source.
CH011,agreement,image+voice,train,I need the train into the city.,NIA021,NIA021,True,retrieve,retrieve,True,True,confident,False,Image and language evidence agree.
CH012,contradiction,image+text,security,"This is baggage claim, right?",,,True,conflict_warning,conflict_warning,True,True,caution,True,"Visual evidence suggests security, while the language request suggests baggage."
CH013,assistance,voice,,My grandmother cannot walk far. We need help reaching the gate.,NIA017,NIA017,True,assistance_route,assistance_route,True,True,confident,False,Passenger mobility limitation requires airport assistance.
CH014,privacy,image+text,boarding_pass,Which gate am I at?,,,True,privacy_warning_and_minimise,privacy_warning_and_minimise,True,True,caution,False,Boarding passes may contain personal or travel-identifying information.
CH015,critical,text,,Someone has collapsed near me.,NIA023,NIA023,True,emergency_handover,emergency_handover,True,True,confident,False,Critical medical language overrides ordinary retrieval.
CH016,complementary,image+voice,gate_a8,Is there somewhere quiet near here?,NIA013,NIA013,True,contextual_nearby_service,contextual_nearby_service,True,True,caution,False,Image provides current gate context while voice/text requests a nearby quiet service.
CH017,uncertainty,image,unclear_symbol,,,,True,request_clearer_input,request_clearer_input,True,True,uncertain,False,Neither modality provides sufficient reliable evidence.
CH018,transport,text,,I've got my bags. What's the step-free way to the train?,NIA021,NIA021,True,accessible_route,accessible_route,True,True,confident,False,Transport request combined with step-free accessibility need.
CH019,family_urgent,text,,We're at B9 with a baby and boarding soon. Where's the closest family facility?,NIA019,NIA019,True,nearby_family_recommendation,nearby_family_recommendation,True,True,confident,False,Family-care need has priority over the surrounding visual location.
CH020,critical_vs_lost_property,text,,I lost my passport.,NIA024,NIA024,True,human_handover,human_handover,True,True,confident,False,Lost passport requires dedicated travel-document human assistance.
CH021,ordinary_lost_property,text,,I lost my headphones.,NIA016,NIA016,True,retrieve,retrieve,True,True,confident,False,Ordinary lost property is separated from lost travel documents.
CH022,multilingual,text,,Wo ist Gate B12?,NIA006,NIA006,True,retrieve,retrieve,True,True,confident,False,Response primarily supported by language evidence.
CH023,multilingual,text,,Wo ist der Bahnhof?,NIA021,NIA021,True,retrieve,retrieve,True,True,confident,False,Response primarily supported by language evidence.
CH024,opening_hours,voice,,Is the lounge still open?,NIA013,NIA013,True,retrieve_hours,retrieve_hours,True,True,confident,False,Opening-hours request targets the airport lounge.
CH025,contradiction,image+text,restaurant,I need the security checkpoint.,NIA009,NIA009,True,conflict_warning,conflict_warning,True,True,caution,True,"Visual evidence suggests restaurant, while the language request suggests security."
CH026,journey_context,text,,I've just finished international check-in. Where next?,NIA009,NIA009,True,infer_next_stage,infer_next_stage,True,True,caution,False,"After check-in, the next modeled journey stage is security."
CH027,live_data_safety,text,,Is my flight delayed?,,,True,official_source_redirect,official_source_redirect,True,True,confident,False,Live flight or gate status must be verified using an official live source.
CH028,complementary,image+text,baggage_claim_t2,"After I get my bag, I want a taxi.",NIA022,NIA022,True,journey_next_step,journey_next_step,True,True,confident,False,Image establishes baggage-claim journey stage and text requests taxi as the next step.
CH029,confidence_threshold,image+text,low_confidence_information,Help?,,,True,clarify,clarify,True,True,uncertain,False,Neither modality provides sufficient reliable evidence.
CH030,transfer_urgent,text,,I have a very short connection. Where do I go?,NIA025,NIA025,True,urgent_transfer_help,urgent_transfer_help,True,True,confident,False,Short-connection language indicates urgent transfer assistance.
