sample_id,query,expected_intent,predicted_intent,correct,confidence,confidence_reason,semantic_confidence,retrieval_similarity,entity_match,model_disagreement,retrieved_record,expected_record,retrieval_correct
FT001,Which way is Gate A3?,find_gate,find_gate,True,confident,exact entity match,0.441,0.521,True,False,NIA001,NIA001,True
FT002,Can you direct me to B9?,find_gate,find_gate,True,confident,exact entity match,0.278,0.406,True,False,NIA005,NIA005,True
FT003,I need directions to Gate A12.,find_gate,find_gate,True,confident,exact entity match,0.373,0.583,True,False,NIA003,NIA003,True
FT004,Where do I go for Gate B4?,find_gate,find_gate,True,confident,exact entity match,0.351,0.615,True,False,NIA004,NIA004,True
FT005,How can I get to A8?,find_gate,find_gate,True,confident,exact entity match,0.254,0.47,True,False,NIA002,NIA002,True
FT006,Where do I check in for an international flight?,find_checkin,find_checkin,True,confident,intent models agree with sufficient retrieval similarity,0.26,0.555,False,False,NIA007,NIA007,True
FT007,Which area has the airline check-in desks?,find_checkin,find_checkin,True,confident,intent models agree with sufficient retrieval similarity,0.194,0.562,False,False,NIA007,NIA007|NIA008,True
FT008,I need to drop my bags before security. Where do I check in?,find_checkin,find_checkin,True,confident,intent models agree with sufficient retrieval similarity,0.185,0.441,False,False,NIA008,NIA007|NIA008,True
FT009,Where are the check-in counters for regional departures?,find_checkin,find_checkin,True,confident,intent models agree with sufficient retrieval similarity,0.263,0.582,False,False,NIA008,NIA008,True
FT010,How do I reach the departure check-in hall?,find_checkin,find_checkin,True,confident,intent models agree with sufficient retrieval similarity,0.15,0.573,False,False,NIA007,NIA007|NIA008,True
FT011,Where should I collect my suitcase after landing?,find_baggage,find_baggage,True,uncertain,insufficient supporting evidence,0.249,0.321,False,False,NIA011,NIA011|NIA012,True
FT012,How do I get to baggage reclaim?,find_baggage,find_baggage,True,confident,intent models agree with sufficient retrieval similarity,0.34,0.44,False,False,NIA011,NIA011|NIA012,True
FT013,Which hall has the luggage carousels?,find_baggage,find_baggage,True,confident,intent models agree with sufficient retrieval similarity,0.196,0.473,False,False,NIA011,NIA011|NIA012,True
FT014,Where do arriving passengers pick up checked bags?,find_baggage,find_baggage,True,caution,semantic intent and retrieval provide moderate evidence,0.25,0.386,False,False,NIA011,NIA011|NIA012,True
FT015,I just landed. Where is baggage collection?,find_baggage,find_baggage,True,confident,intent models agree with sufficient retrieval similarity,0.422,0.448,False,False,NIA011,NIA011|NIA012,True
FT016,Where do I go for the security check?,find_security,find_security,True,confident,intent models agree with sufficient retrieval similarity,0.237,0.358,False,False,NIA010,NIA009|NIA010,True
FT017,How can I reach airport security?,find_security,find_security,True,confident,intent models agree with sufficient retrieval similarity,0.175,0.422,False,False,NIA009,NIA009|NIA010,True
FT018,Which way is the passenger screening area?,find_security,find_security,True,uncertain,insufficient supporting evidence,0.146,0.336,False,False,NIA010,NIA009|NIA010,True
FT019,I need to pass through security before my gate. Where is it?,find_security,find_gate,False,uncertain,intent models disagree,0.219,0.465,False,True,NIA002,NIA009|NIA010,False
FT020,Where are bags and passengers screened?,find_security,find_baggage,False,uncertain,insufficient supporting evidence,0.248,0.371,False,False,NIA012,NIA009|NIA010,False
FT021,Is there a lounge where I can wait?,find_lounge,find_lounge,True,confident,intent models agree with sufficient retrieval similarity,0.513,0.508,False,False,NIA013,NIA013,True
FT022,Where can I find the airport lounge?,find_lounge,find_lounge,True,confident,intent models agree with sufficient retrieval similarity,0.424,0.568,False,False,NIA013,NIA013,True
FT023,I want somewhere quiet to sit before boarding.,find_lounge,find_lounge,True,caution,semantic intent and retrieval provide moderate evidence,0.269,0.418,False,False,NIA013,NIA013,True
FT024,How do I get to the SkyNova Lounge?,find_lounge,find_lounge,True,confident,intent models agree with sufficient retrieval similarity,0.474,0.651,False,False,NIA013,NIA013,True
FT025,Which area has the passenger lounge?,find_lounge,find_lounge,True,confident,intent models agree with sufficient retrieval similarity,0.408,0.564,False,False,NIA013,NIA013,True
FT026,Where can I get something to eat?,find_restaurant,find_restaurant,True,caution,intent models agree but retrieval similarity is limited,0.519,0.261,False,False,NIA020,NIA020,True
FT027,Is there a food court nearby?,find_restaurant,find_restaurant,True,confident,intent models agree with sufficient retrieval similarity,0.513,0.548,False,False,NIA020,NIA020,True
FT028,Where can I buy a meal before my flight?,find_restaurant,find_restaurant,True,uncertain,insufficient supporting evidence,0.446,0.344,False,False,NIA020,NIA020,True
FT029,I need a restaurant in the terminal.,find_restaurant,find_restaurant,True,confident,intent models agree with sufficient retrieval similarity,0.331,0.596,False,False,NIA020,NIA020,True
FT030,Which way is the main dining area?,find_restaurant,find_restaurant,True,uncertain,insufficient supporting evidence,0.236,0.403,False,False,NIA020,NIA020,True
FT031,How do I get to the airport train?,find_transport,find_transport,True,confident,intent models agree with sufficient retrieval similarity,0.379,0.431,False,False,NIA021,NIA021,True
