sample_id,text,intent,entities,urgency,passenger_need,difficulty,expected_kb_record,split
TXT001,Where is Gate B12?,find_gate,"{""gate_number"": ""B12""}",normal,standard,ambiguous,NIA006,train
TXT002,Can you show me the way to B9?,find_gate,"{""gate_number"": ""B9""}",normal,standard,direct,NIA005,validation
TXT003,I need Gate A8.,find_gate,"{""gate_number"": ""A8""}",normal,standard,ambiguous,NIA002,train
TXT004,How do I get to A3?,find_gate,"{""gate_number"": ""A3""}",normal,standard,direct,NIA001,test
TXT005,Which way is A12?,find_gate,"{""gate_number"": ""A12""}",normal,standard,ambiguous,NIA003,train
TXT006,"B4 please, where do I go?",find_gate,"{""gate_number"": ""B4""}",normal,standard,ambiguous,NIA004,train
TXT007,I've passed security and need B12.,find_gate,"{""gate_number"": ""B12""}",normal,standard,direct,NIA006,train
TXT008,Can you direct me to Gate A8?,find_gate,"{""gate_number"": ""A8""}",normal,standard,direct,NIA002,validation
TXT009,My boarding gate is A3. How do I reach it?,find_gate,"{""gate_number"": ""A3""}",normal,standard,direct,NIA001,train
TXT010,I'm trying to find B9.,find_gate,"{""gate_number"": ""B9""}",normal,standard,direct,NIA005,train
TXT011,Gate A12 directions please.,find_gate,"{""gate_number"": ""A12""}",normal,standard,ambiguous,NIA003,train
TXT012,Where can I find B4 after security?,find_gate,"{""gate_number"": ""B4""}",normal,standard,direct,NIA004,train
TXT013,My boarding pass says B12.,find_gate,"{""gate_number"": ""B12""}",normal,standard,direct,NIA006,train
TXT014,Could you help me locate A8?,find_gate,"{""gate_number"": ""A8""}",normal,standard,direct,NIA002,validation
TXT015,Which direction for Gate A3?,find_gate,"{""gate_number"": ""A3""}",normal,standard,direct,NIA001,train
TXT016,"I think I need to go to B9, can you guide me?",find_gate,"{""gate_number"": ""B9""}",normal,standard,conversational,NIA005,test
TXT017,How far is Gate A12 from security?,find_gate,"{""gate_number"": ""A12""}",normal,standard,direct,NIA003,train
TXT018,Take me to B4.,find_gate,"{""gate_number"": ""B4""}",normal,standard,ambiguous,NIA004,test
TXT019,I'm late and still need to find B12.,find_gate,"{""gate_number"": ""B12""}",time_sensitive,standard,contextual,NIA006,train
TXT020,Where's A8 from the departure area?,find_gate,"{""gate_number"": ""A8""}",normal,standard,direct,NIA002,train
TXT021,Where do I check in for an international flight?,find_checkin,{},normal,standard,direct,NIA007,test
TXT022,Where is Terminal 1 check-in?,find_checkin,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA007,train
TXT023,I need to drop my bag before my international flight.,find_checkin,{},normal,standard,direct,NIA007,train
TXT024,Which way to the international check-in desks?,find_checkin,{},normal,standard,direct,NIA007,validation
TXT025,Where are the check-in counters in T1?,find_checkin,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA007,validation
TXT026,I just entered Terminal 1. Where do I check in?,find_checkin,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA007,train
TXT027,Where is regional check-in?,find_checkin,{},normal,standard,ambiguous,NIA008,test
TXT028,I need the Terminal 2 bag drop.,find_checkin,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA008,train
TXT029,Where are the T2 check-in counters?,find_checkin,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA008,test
TXT030,Which way for regional flight check-in?,find_checkin,{},normal,standard,direct,NIA008,train
TXT031,I'm in Terminal 2 and haven't checked in yet.,find_checkin,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA008,train
TXT032,Can you guide me to the regional check-in hall?,find_checkin,{},normal,standard,direct,NIA008,train
TXT033,International bag drop please.,find_checkin,{},normal,standard,ambiguous,NIA007,train
TXT034,Where should I check my suitcase in T1?,find_checkin,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA007,train
TXT035,Check-in desk for international departures?,find_checkin,{},normal,standard,direct,NIA007,train
TXT036,Where do regional passengers check bags?,find_checkin,{},normal,standard,direct,NIA008,train
TXT037,I need to check in before security in T2.,find_checkin,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA008,train
TXT038,How do I reach check-in from the Terminal 1 entrance?,find_checkin,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA007,train
TXT039,Is the regional check-in area in Terminal 2?,find_checkin,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA008,train
TXT040,Take me to check-in in T1.,find_checkin,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA007,validation
TXT041,Where is baggage claim in Terminal 1?,find_baggage,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA011,train
TXT042,How do I get to baggage claim?,find_baggage,{},normal,standard,direct,NIA011,validation
TXT043,Where do I collect my suitcase in T2?,find_baggage,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA012,train
TXT044,Which way to the luggage belts?,find_baggage,{},normal,standard,direct,NIA011,train
TXT045,I just landed in Terminal 2. Where are my bags?,find_baggage,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA012,train
TXT046,Where is baggage reclaim hall 1?,find_baggage,{},normal,standard,direct,NIA011,test
TXT047,Take me to baggage claim hall 2.,find_baggage,{},normal,standard,direct,NIA012,train
TXT048,Where are the carousels in Terminal 1?,find_baggage,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA011,validation
TXT049,I need belt information for Terminal 2 arrivals.,find_baggage,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA012,train
TXT050,Where do arriving passengers collect luggage in T1?,find_baggage,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA011,train
TXT051,Baggage pickup T2?,find_baggage,"{""terminal_number"": ""Terminal 2""}",normal,standard,ambiguous,NIA012,train
TXT052,I'm after immigration. Where is baggage claim?,find_baggage,{},normal,standard,direct,NIA011,test
TXT053,Where are the luggage belts in Terminal 2?,find_baggage,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA012,train
TXT054,Help me find baggage reclaim.,find_baggage,{},normal,standard,direct,NIA011,train
TXT055,My bag should be coming out in T2. Where do I go?,find_baggage,"{""terminal_number"": ""Terminal 2""}",normal,standard,conversational,NIA012,train
TXT056,Where's the baggage hall after landing in T1?,find_baggage,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA011,train
TXT057,Suitcase collection area?,find_baggage,{},normal,standard,ambiguous,NIA011,test
TXT058,Bags in terminal two?,find_baggage,{},normal,standard,ambiguous,NIA012,validation
TXT059,I landed and need to collect checked baggage.,find_baggage,{},normal,standard,direct,NIA011,train
TXT060,Where is the T2 baggage carousel area?,find_baggage,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA012,train
TXT061,Where is security in Terminal 1?,find_security,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA009,train
TXT062,How do I get to security after check-in?,find_security,{},normal,standard,direct,NIA009,test
TXT063,Where is Security Control South?,find_security,{},normal,standard,direct,NIA010,train
TXT064,Which way to screening in T2?,find_security,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA010,train
TXT065,I finished check-in in Terminal 1. What's the way to security?,find_security,"{""terminal_number"": ""Terminal 1""}",normal,standard,conversational,NIA009,train
TXT066,Where do they scan bags in T1?,find_security,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA009,validation
TXT067,Take me to the T2 security checkpoint.,find_security,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA010,train
TXT068,Where is passenger screening?,find_security,{},normal,standard,ambiguous,NIA009,train
TXT069,Security in terminal two?,find_security,{},normal,standard,ambiguous,NIA010,train
TXT070,I need to pass security before Gate A8.,find_security,"{""gate_number"": ""A8""}",normal,standard,direct,NIA009,train
TXT071,Which checkpoint should I use for B12?,find_security,"{""gate_number"": ""B12""}",normal,standard,direct,NIA010,train
TXT072,How far is security from regional check-in?,find_security,{},normal,standard,direct,NIA010,train
TXT073,Where's the North security control?,find_security,{},normal,standard,direct,NIA009,validation
TXT074,I need the South checkpoint.,find_security,{},normal,standard,direct,NIA010,train
TXT075,Can you direct me to security in T1?,find_security,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA009,train
TXT076,Where do I go after international check-in?,find_security,{},normal,standard,direct,NIA009,test
TXT077,Screening area Terminal 2 please.,find_security,"{""terminal_number"": ""Terminal 2""}",normal,standard,direct,NIA010,train
TXT078,Security checkpoint for the B gates?,find_security,{},normal,standard,direct,NIA010,test
TXT079,I am at T1 check-in; where next for screening?,find_security,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA009,validation
TXT080,Where can I find security control?,find_security,{},normal,standard,direct,NIA009,train
TXT081,Where is the lounge?,find_lounge,{},normal,standard,ambiguous,NIA013,test
TXT082,How do I find SkyNova Lounge?,find_lounge,{},normal,standard,direct,NIA013,train
TXT083,Is there somewhere quiet to sit after security?,find_lounge,{},normal,standard,direct,NIA013,train
TXT084,Directions to the airport lounge please.,find_lounge,{},normal,standard,direct,NIA013,train
TXT085,Where can I relax in Terminal 1?,find_lounge,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA013,validation
TXT086,Which way to SkyNova?,find_lounge,{},normal,standard,ambiguous,NIA013,test
TXT087,I want the passenger lounge.,find_lounge,{},normal,standard,direct,NIA013,train
TXT088,Is the lounge near Gate A8?,find_lounge,"{""gate_number"": ""A8""}",normal,standard,direct,NIA013,train
TXT089,Where is the work and refreshment lounge?,find_lounge,{},normal,standard,direct,NIA013,train
TXT090,Take me to SkyNova Lounge.,find_lounge,{},normal,standard,direct,NIA013,train
TXT091,I need a quiet lounge in T1.,find_lounge,"{""terminal_number"": ""Terminal 1""}",normal,standard,direct,NIA013,train
TXT092,Where can I sit and work airside?,find_lounge,{},normal,standard,direct,NIA013,test
TXT093,Lounge directions from security?,find_lounge,{},normal,standard,ambiguous,NIA013,train
TXT094,Can you locate the lounge for me?,find_lounge,{},normal,standard,direct,NIA013,train
TXT095,Where's SkyNova after Security North?,find_lounge,{},normal,standard,direct,NIA013,validation
