sample_id,query,expected_intent,predicted_intent,correct,confidence,confidence_reason,semantic_confidence,retrieval_similarity,entity_match,model_disagreement
FT001,Which way is Gate A3?,find_gate,find_gate,True,confident,exact entity match,0.441,0.521,True,False
FT002,Can you direct me to B9?,find_gate,find_gate,True,confident,exact entity match,0.278,0.406,True,False
FT003,I need directions to Gate A12.,find_gate,find_gate,True,confident,exact entity match,0.373,0.583,True,False
FT004,Where do I go for Gate B4?,find_gate,find_gate,True,confident,exact entity match,0.351,0.615,True,False
FT005,How can I get to A8?,find_gate,find_gate,True,confident,exact entity match,0.254,0.47,True,False
FT006,Where do I check in for an international flight?,find_checkin,find_checkin,True,confident,intent models agree with sufficient retrieval similarity,0.26,0.555,False,False
FT007,Which area has the airline check-in desks?,find_checkin,find_checkin,True,confident,intent models agree with sufficient retrieval similarity,0.194,0.562,False,False
FT008,I need to drop my bags before security. Where do I check in?,find_checkin,find_checkin,True,confident,intent models agree with sufficient retrieval similarity,0.185,0.441,False,False
FT009,Where are the check-in counters for regional departures?,find_checkin,find_checkin,True,confident,intent models agree with sufficient retrieval similarity,0.263,0.582,False,False
FT010,How do I reach the departure check-in hall?,find_checkin,find_checkin,True,confident,intent models agree with sufficient retrieval similarity,0.15,0.573,False,False
FT011,Where should I collect my suitcase after landing?,find_baggage,find_baggage,True,uncertain,insufficient supporting evidence,0.249,0.321,False,False
FT012,How do I get to baggage reclaim?,find_baggage,find_baggage,True,confident,intent models agree with sufficient retrieval similarity,0.34,0.44,False,False
FT013,Which hall has the luggage carousels?,find_baggage,find_baggage,True,confident,intent models agree with sufficient retrieval similarity,0.196,0.473,False,False
FT014,Where do arriving passengers pick up checked bags?,find_baggage,find_baggage,True,caution,semantic intent and retrieval provide moderate evidence,0.25,0.386,False,False
FT015,I just landed. Where is baggage collection?,find_baggage,find_baggage,True,confident,intent models agree with sufficient retrieval similarity,0.422,0.448,False,False
FT016,Where do I go for the security check?,find_security,find_security,True,confident,intent models agree with sufficient retrieval similarity,0.237,0.358,False,False
FT017,How can I reach airport security?,find_security,find_security,True,confident,intent models agree with sufficient retrieval similarity,0.175,0.422,False,False
FT018,Which way is the passenger screening area?,find_security,find_security,True,uncertain,insufficient supporting evidence,0.146,0.336,False,False
FT019,I need to pass through security before my gate. Where is it?,find_security,find_gate,False,uncertain,intent models disagree,0.219,0.465,False,True
FT020,Where are bags and passengers screened?,find_security,find_baggage,False,uncertain,insufficient supporting evidence,0.248,0.371,False,False
FT021,Is there a lounge where I can wait?,find_lounge,find_lounge,True,confident,intent models agree with sufficient retrieval similarity,0.513,0.508,False,False
FT022,Where can I find the airport lounge?,find_lounge,find_lounge,True,confident,intent models agree with sufficient retrieval similarity,0.424,0.568,False,False
FT023,I want somewhere quiet to sit before boarding.,find_lounge,find_lounge,True,caution,semantic intent and retrieval provide moderate evidence,0.269,0.418,False,False
FT024,How do I get to the SkyNova Lounge?,find_lounge,find_lounge,True,confident,intent models agree with sufficient retrieval similarity,0.474,0.651,False,False
FT025,Which area has the passenger lounge?,find_lounge,find_lounge,True,confident,intent models agree with sufficient retrieval similarity,0.408,0.564,False,False
FT026,Where can I get something to eat?,find_restaurant,find_restaurant,True,caution,intent models agree but retrieval similarity is limited,0.519,0.261,False,False
FT027,Is there a food court nearby?,find_restaurant,find_restaurant,True,confident,intent models agree with sufficient retrieval similarity,0.513,0.548,False,False
FT028,Where can I buy a meal before my flight?,find_restaurant,find_restaurant,True,uncertain,insufficient supporting evidence,0.446,0.344,False,False
FT029,I need a restaurant in the terminal.,find_restaurant,find_restaurant,True,confident,intent models agree with sufficient retrieval similarity,0.331,0.596,False,False
FT030,Which way is the main dining area?,find_restaurant,find_restaurant,True,uncertain,insufficient supporting evidence,0.236,0.403,False,False
FT031,How do I get to the airport train?,find_transport,find_transport,True,confident,intent models agree with sufficient retrieval similarity,0.379,0.431,False,False
FT032,Where can I find taxis outside the terminal?,find_transport,find_transport,True,confident,intent models agree with sufficient retrieval similarity,0.267,0.479,False,False
FT033,Which way is the railway station?,find_transport,find_transport,True,confident,intent models agree with sufficient retrieval similarity,0.384,0.379,False,False
FT034,Where do I go for ground transport?,find_transport,find_transport,True,confident,intent models agree with sufficient retrieval similarity,0.307,0.385,False,False
FT035,How can I reach the taxi and rideshare area?,find_transport,find_transport,True,confident,intent models agree with sufficient retrieval similarity,0.379,0.461,False,False
